id,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20
S1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1
S2,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
S3,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
S4,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
S5,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
S6,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
S7,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
S8,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0
S9,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1
S10,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1