ID,cog_num_1,cog_num_2,cog_num_3,cog_num_4,cog_num_5,cog_num_6,cog_ver_1,cog_ver_2,cog_ver_3,cog_ver_4,cog_ver_5,cog_ver_6,cog_abs_1,cog_abs_2,cog_abs_3,cog_abs_4,cog_abs_5,cog_abs_6,fdt_achiev,fdt_activ,fdt_altr,fdt_anger,fdt_anxie,fdt_assert,fdt_compet,fdt_compl,fdt_delib,fdt_depr,fdt_dutif,fdt_entit,fdt_excite,fdt_fant,fdt_gregar,fdt_impul,fdt_indiff,fdt_modest,fdt_order,fdt_self-ass,fdt_self-dis,fdt_shame,fdt_straight,fdt_tender,fdt_trust,fdt_vulner,fdt_warm
participant1,10,1,3,7,7,7,2,9,4,7,1,5,6,6,5,9,1,5,5,1,1,1,3,4,3,5,1,2,4,1,4,4,1,5,2,3,5,1,3,3,5,3,1,4,5
participant2,5,7,1,6,10,3,9,2,5,9,1,8,7,8,1,5,2,1,4,3,4,2,5,1,1,2,2,5,4,5,2,2,2,4,4,5,3,2,1,4,4,3,5,1,2
participant3,3,7,10,9,3,3,8,7,7,10,3,1,9,2,10,2,2,2,1,5,3,3,2,1,3,4,2,3,3,3,2,1,5,4,2,5,4,2,2,2,3,1,5,5,1
participant4,8,2,10,2,4,4,8,3,9,3,10,7,6,10,4,5,3,4,2,5,4,5,5,4,2,2,1,1,2,5,2,1,1,4,5,3,4,4,3,5,3,5,1,5,2
participant5,9,4,8,10,8,1,9,7,6,8,8,6,9,1,9,2,1,4,2,5,3,1,3,3,1,2,3,2,5,3,1,3,3,5,2,5,1,5,4,1,2,4,5,3,2
participant6,7,8,9,6,1,7,3,1,10,9,5,7,5,7,4,1,5,5,3,1,5,5,2,2,1,4,1,1,4,3,5,2,1,5,4,4,5,1,5,3,3,3,1,1,3
participant7,9,2,9,3,10,3,3,5,2,2,9,4,8,10,4,3,10,7,5,4,5,5,2,1,3,5,5,5,4,4,5,4,3,1,5,4,3,2,4,5,2,3,1,2,1
participant8,10,1,3,9,9,1,8,9,6,1,5,8,10,4,1,6,3,6,5,4,4,4,5,1,5,4,1,2,3,4,1,2,4,5,3,1,1,4,3,3,4,2,4,4,5
participant9,9,2,2,7,8,1,2,9,10,2,1,8,1,6,2,2,2,5,2,5,4,4,3,4,4,5,3,5,4,5,3,5,5,5,4,4,5,3,1,3,5,1,5,1,1
